line = five3onelxjninenine45, First digit = five, Last digit = 3, f = 5, l = 3
line = 1gsxrx7one, First digit = 1, Last digit = 7, f = 1, l = 7
line = hqpktfiveqvtjcxfkznine1, First digit = five, Last digit = five, f = 5, l = 5
line = xlhsxgssktqcmcjteight69kfph, First digit = eight, Last digit = eight, f = 8, l = 8
line = 8rfqclm, First digit = 8, Last digit = , f = 8, l = 0
line = zqccxsponetkqtnine7six, First digit = one, Last digit = one, f = 1, l = 1
line = 8xffivesevenhdzfjvlfive25, First digit = 8, Last digit = five, f = 8, l = 5
line = xklljtnrbgxcggtpt57, First digit = 5, Last digit = 5, f = 5, l = 5
line = nine69seventhree, First digit = nine, Last digit = 6, f = 9, l = 6
line = 3five4vktxqjfour, First digit = 3, Last digit = five, f = 3, l = 5
line = sevennine6tbbddvbbpjsevenzxpzkcthreex, First digit = seven, Last digit = 6, f = 7, l = 6
line = 86fourpfmlfourninetwobbpmntj, First digit = 8, Last digit = 6, f = 8, l = 6
line = two6bxpllmxtwo, First digit = two, Last digit = 6, f = 2, l = 6
line = onecsjtf1four5, First digit = one, Last digit = 1, f = 1, l = 1
line = ljmkg9621twonine2, First digit = 9, Last digit = 9, f = 9, l = 9
line = five97xkqbskgr, First digit = five, Last digit = 9, f = 5, l = 9
line = threefiveonekjbrtqz275fnfour, First digit = three, Last digit = five, f = 3, l = 5
line = pbrghznine6threejmfhfqqnlnkm89, First digit = nine, Last digit = nine, f = 9, l = 9
line = ninegkldqjcmfjninezmmzsttqbj1, First digit = nine, Last digit = nine, f = 9, l = 9
line = gsmsjzlzheight65qjjjbrqhmnfive, First digit = eight, Last digit = eight, f = 8, l = 8
line = eight1b1pk7two, First digit = eight, Last digit = 1, f = 8, l = 1
line = nine63seventhreeeightfivetwonjdvmxcfmx, First digit = nine, Last digit = 6, f = 9, l = 6
line = tnzthree5, First digit = three, Last digit = three, f = 3, l = 3
line = fivefive4jrsbjmkzvbjone2, First digit = five, Last digit = 4, f = 5, l = 4
line = 6zsblcgdfivetwofour, First digit = 6, Last digit = five, f = 6, l = 5
line = 1vtzznqfqsixfivepxeight, First digit = 1, Last digit = six, f = 1, l = 6
line = 1sevenpdsf1ninefoursix, First digit = 1, Last digit = seven, f = 1, l = 7
line = fftqmfdhdsdtkfour3sevenjsqtmfive8, First digit = four, Last digit = four, f = 4, l = 4
line = 3foureight1cqckq, First digit = 3, Last digit = four, f = 3, l = 4
line = clvrcncnzkrxxgztl7seven, First digit = 7, Last digit = 7, f = 7, l = 7
line = fspmvzzjf2xngtglshcdlhft9nrqmkcqb4, First digit = 2, Last digit = 2, f = 2, l = 2
line = 1onemvntx2rvcrgnfive, First digit = 1, Last digit = one, f = 1, l = 1
line = 5nzjjsmlfd, First digit = 5, Last digit = , f = 5, l = 0
line = 3hzxjcrbvtnine, First digit = 3, Last digit = nine, f = 3, l = 9
line = kvkpdrgeight5d, First digit = eight, Last digit = eight, f = 8, l = 8
line = 5kpqhlrkqqm, First digit = 5, Last digit = , f = 5, l = 0
line = 5fivenine, First digit = 5, Last digit = five, f = 5, l = 5
line = pkzrhbrjlc3ktq429, First digit = 3, Last digit = 3, f = 3, l = 3
line = threetqxvmjm4onegqsrsqpqh, First digit = three, Last digit = 4, f = 3, l = 4
line = 7ninepsjgsfvxsbtzkz3eightqd, First digit = 7, Last digit = nine, f = 7, l = 9
line = mlbrdfjzcvxr7twokfvdsmsixfivefourh, First digit = 7, Last digit = 7, f = 7, l = 7
line = 7twofive, First digit = 7, Last digit = two, f = 7, l = 2
line = 48kzprtdfsch91, First digit = 4, Last digit = 8, f = 4, l = 8
line = 4vfxfhmeightljxvxhfxsjsjtgjlqmgnine, First digit = 4, Last digit = eight, f = 4, l = 8
line = nine3sbfzznrxmphdhjd, First digit = nine, Last digit = 3, f = 9, l = 3
line = sevengrhblnnnfg74sixfour, First digit = seven, Last digit = 7, f = 7, l = 7
line = eightsix4onenine21onetwo, First digit = eight, Last digit = six, f = 8, l = 6
line = vrqckqrrtxrsjltdplbmnine9six, First digit = nine, Last digit = nine, f = 9, l = 9
line = jfk9zbdr2gpsfdqbsrz, First digit = 9, Last digit = 9, f = 9, l = 9
line = 957jrpkcgkcthreetwoblpgkx, First digit = 9, Last digit = 5, f = 9, l = 5
line = 894threenineone2, First digit = 8, Last digit = 9, f = 8, l = 9
line = 4ftsxhkkone3, First digit = 4, Last digit = one, f = 4, l = 1
line = m9fourztzfvhqstwojx3four, First digit = 9, Last digit = 9, f = 9, l = 9
line = fiveninevm8, First digit = five, Last digit = nine, f = 5, l = 9
line = prddhzmhzmeightsixthreeqpzjbdnmgc9five, First digit = eight, Last digit = eight, f = 8, l = 8
line = tftvxbtnine1twofivelkbfsbndrq2, First digit = nine, Last digit = nine, f = 9, l = 9
line = 6seven2oneninehlstxr8, First digit = 6, Last digit = seven, f = 6, l = 7
line = 6qkzfrzqsjnb49hftltrntl, First digit = 6, Last digit = 4, f = 6, l = 4
line = three7sixtpmpninefivethree, First digit = three, Last digit = 7, f = 3, l = 7
line = five19zgnqjbshbtlhvc7sevenqdmqdsnknine, First digit = five, Last digit = 1, f = 5, l = 1
line = fiveone1threejjmcfzsxtbtvg, First digit = five, Last digit = one, f = 5, l = 1
line = 5mkmskszcn9, First digit = 5, Last digit = 9, f = 5, l = 9
line = fouronefour2bqcs3onetwo, First digit = four, Last digit = four, f = 4, l = 4
line = 8three75sevenbbsbxjscvseven6mhpx, First digit = 8, Last digit = three, f = 8, l = 3
line = lhdhnqqj6btjglcnpxxgzc, First digit = 6, Last digit = 6, f = 6, l = 6
line = gvlbmvldpsl2smgdqnh, First digit = 2, Last digit = 2, f = 2, l = 2
line = oneseveneightr6onecseven3, First digit = one, Last digit = seven, f = 1, l = 7
line = nxrcgsevenlqf3, First digit = seven, Last digit = seven, f = 7, l = 7
line = r81fourbnskcrnn1twobcfpvqqtdd, First digit = 8, Last digit = 8, f = 8, l = 8
line = onexdx935ninecjtnsxxq, First digit = one, Last digit = 9, f = 1, l = 9
line = 15twoftmcckrhgg2, First digit = 1, Last digit = 5, f = 1, l = 5
line = fivemmjldhtbfivellfblbx89fourzcxxjthree, First digit = five, Last digit = five, f = 5, l = 5
line = 7mhxhvghc89, First digit = 7, Last digit = 8, f = 7, l = 8
line = onendjhfxlzvzgrchf495onenksffh3, First digit = one, Last digit = 4, f = 1, l = 4
line = two36lpgrkzr6rtmhqcngn, First digit = two, Last digit = 3, f = 2, l = 3
line = 9hntjqfrrjmnv7, First digit = 9, Last digit = 7, f = 9, l = 7
line = zdgrvhz8, First digit = 8, Last digit = , f = 8, l = 0
line = 6nineeightvzjnnxjdmxonegtrsqrqnd27four, First digit = 6, Last digit = nine, f = 6, l = 9
line = sxcxccnn1ninejqmtqc9, First digit = 1, Last digit = 1, f = 1, l = 1
line = 3vljzxsgfmfeightqlrgcktdf, First digit = 3, Last digit = eight, f = 3, l = 8
line = 1four5fivehpbsspt8, First digit = 1, Last digit = four, f = 1, l = 4
line = seven23, First digit = seven, Last digit = 2, f = 7, l = 2
line = ninek9, First digit = nine, Last digit = 9, f = 9, l = 9
line = onefkzkcljxp1sixthree5ninelt, First digit = one, Last digit = 1, f = 1, l = 1
line = 6mczeightrfshqxqxts3, First digit = 6, Last digit = eight, f = 6, l = 8
line = 52569four2lnqbzxjbjz, First digit = 5, Last digit = 2, f = 5, l = 2
line = 6pmcfgfk179fbfbvr, First digit = 6, Last digit = 1, f = 6, l = 1
line = pmbdtdsnxbmgknqgjj4ninefiverxxmtdgheighttp, First digit = 4, Last digit = 4, f = 4, l = 4
line = 2fourckrgbs76fiveeightgjknht, First digit = 2, Last digit = four, f = 2, l = 4
line = 4lzlfvn8zp, First digit = 4, Last digit = 8, f = 4, l = 8
line = zjzjhv9, First digit = 9, Last digit = , f = 9, l = 0
line = threehjlnrg71sevenfiveeighteightsix, First digit = three, Last digit = 7, f = 3, l = 7
line = szlbnkssc6jxhmhskeightthree5threemnfpvrj, First digit = 6, Last digit = 6, f = 6, l = 6
line = 72seven7vgdfgqfxl, First digit = 7, Last digit = 2, f = 7, l = 2
line = kxnglmlneightzhqqhmdz7, First digit = eight, Last digit = eight, f = 8, l = 8
line = eightseven3nine9, First digit = eight, Last digit = seven, f = 8, l = 7
line = 49ninesix, First digit = 4, Last digit = 9, f = 4, l = 9
line = qfxcgxmznpeightnnqone7nsmsxjsqh3four7, First digit = eight, Last digit = eight, f = 8, l = 8
line = 29seven1ntxmjqgfn8ptpjsp7eight, First digit = 2, Last digit = 9, f = 2, l = 9
line = seven8tnlvtdpnjzeight3eight1vtplvnbpl, First digit = seven, Last digit = 8, f = 7, l = 8
line = j5four, First digit = 5, Last digit = 5, f = 5, l = 5
line = sixntfvskqqrv9one, First digit = six, Last digit = 9, f = 6, l = 9
line = oneqnqzfbtjnb81szdbeightcscone, First digit = one, Last digit = 8, f = 1, l = 8
line = four88869pxlszclzfq, First digit = four, Last digit = 8, f = 4, l = 8
line = mvpkbvfivejjfrxmzxl21, First digit = five, Last digit = five, f = 5, l = 5
line = qznnjltonejfjlslh9, First digit = one, Last digit = one, f = 1, l = 1
line = nine9sfourkbcdzqdlmmveightgbxsgtjdrbsfthkbmsr, First digit = nine, Last digit = 9, f = 9, l = 9
line = four9cfpxmdg, First digit = four, Last digit = 9, f = 4, l = 9
line = l9, First digit = 9, Last digit = , f = 9, l = 0
line = 4mzsstnbltnine, First digit = 4, Last digit = nine, f = 4, l = 9
line = 6rclj, First digit = 6, Last digit = , f = 6, l = 0
line = eightnzhfqmblpdfcffkfive9, First digit = eight, Last digit = five, f = 8, l = 5
line = 6ninep, First digit = 6, Last digit = nine, f = 6, l = 9
line = onekpxthg6vr21jghlcxhnvkhbzdjkcfour, First digit = one, Last digit = 6, f = 1, l = 6
line = 2crhnmq, First digit = 2, Last digit = , f = 2, l = 0
line = mgtwonefive9drkflmcfmkmsvzb1eightoneseven, First digit = two, Last digit = two, f = 2, l = 2
line = 31two, First digit = 3, Last digit = 1, f = 3, l = 1
line = twos1hvzhnn, First digit = two, Last digit = 1, f = 2, l = 1
line = rjjldxlp63five1threetwo, First digit = 6, Last digit = 6, f = 6, l = 6
line = ninejkhbqfkxccdnc4ftnzbdfdjxbjgqjfivexglgtvvdmn, First digit = nine, Last digit = 4, f = 9, l = 4
line = fourzhzh3four, First digit = four, Last digit = 3, f = 4, l = 3
line = eight8four5two5seventzqlckfive, First digit = eight, Last digit = 8, f = 8, l = 8
line = one113tworzqnqsrrjnxbpprsglnine, First digit = one, Last digit = 1, f = 1, l = 1
line = 6chcqbpl, First digit = 6, Last digit = , f = 6, l = 0
line = 8threemxc7, First digit = 8, Last digit = three, f = 8, l = 3
line = 7nbssevenvxb33pxstzqfhdrtxqs, First digit = 7, Last digit = seven, f = 7, l = 7
line = 8three276tlrkszgneight, First digit = 8, Last digit = three, f = 8, l = 3
line = dccvsl93sixfour92, First digit = 9, Last digit = 9, f = 9, l = 9
line = 95seven9ninevhxcthree, First digit = 9, Last digit = 5, f = 9, l = 5
line = onehbdrrpxkjbdk6, First digit = one, Last digit = 6, f = 1, l = 6
line = fivekkk3ninespgtqsix, First digit = five, Last digit = 3, f = 5, l = 3
line = sixfive52eight, First digit = six, Last digit = five, f = 6, l = 5
line = fourone5nine, First digit = four, Last digit = 5, f = 4, l = 5
line = 5xvdnfxk1gtvmzbv7jkxxvjmjg7, First digit = 5, Last digit = 1, f = 5, l = 1
line = 85nmvbdrqrb2ninefivefourone, First digit = 8, Last digit = 5, f = 8, l = 5
line = 1jqgkhsix7seven9847, First digit = 1, Last digit = six, f = 1, l = 6
line = 2sevenone8five6twosnfdkcone, First digit = 2, Last digit = seven, f = 2, l = 7
line = fourrcfivekpsxkhrtfive4fourxqhtmrlgj, First digit = four, Last digit = five, f = 4, l = 5
line = tqtgd2388, First digit = 2, Last digit = 2, f = 2, l = 2
line = jbrfsl6nineq, First digit = 6, Last digit = 6, f = 6, l = 6
line = two8lsxfzdfnpthreesix3, First digit = two, Last digit = 8, f = 2, l = 8
line = 2czrtdlcffivethreeonelsix2, First digit = 2, Last digit = five, f = 2, l = 5
line = vhdnp37, First digit = 3, Last digit = 3, f = 3, l = 3
line = sqkffnrcsnlkmxczzhvr419kzh5six, First digit = 4, Last digit = 4, f = 4, l = 4
line = 24115twoone, First digit = 2, Last digit = 4, f = 2, l = 4
line = vlpjbq9vngpkhlpbfjnmztststwo, First digit = 9, Last digit = 9, f = 9, l = 9
line = eight499four6, First digit = eight, Last digit = 4, f = 8, l = 4
line = five7neightqntdsjskz126msrcns, First digit = five, Last digit = 7, f = 5, l = 7
line = one79khfctv, First digit = one, Last digit = 7, f = 1, l = 7
line = 1fourthreeonepsnr5four, First digit = 1, Last digit = four, f = 1, l = 4
line = 1fourseven2b, First digit = 1, Last digit = four, f = 1, l = 4
line = sixtsbrxkbpg9b, First digit = six, Last digit = 9, f = 6, l = 9
line = dvnsccrktj9five6onepd, First digit = 9, Last digit = 9, f = 9, l = 9
line = rmqmz4fiveninejlxlgx, First digit = 4, Last digit = 4, f = 4, l = 4
line = brbeightwo6cxnblxgskmxxxtwo, First digit = eight, Last digit = eight, f = 8, l = 8
line = 7fiveckskgnzgfourfivenxxkfxpzgcqcdfl58, First digit = 7, Last digit = five, f = 7, l = 5
line = 564, First digit = 5, Last digit = 6, f = 5, l = 6
line = one257six5vlkrcvmgsn88, First digit = one, Last digit = 2, f = 1, l = 2
line = pbvzppchp6twonkkpvghseveneightsix, First digit = 6, Last digit = 6, f = 6, l = 6
line = tlv8, First digit = 8, Last digit = , f = 8, l = 0
line = eight59jj1cfnr4fzczfrvjgbn, First digit = eight, Last digit = 5, f = 8, l = 5
line = hbh8knnine3sgbnsjldfoursevent, First digit = 8, Last digit = 8, f = 8, l = 8
line = xjjvsix8eight8rqjkhdmnncbfivetwo, First digit = six, Last digit = six, f = 6, l = 6
line = dtgbxlxsqcftld4, First digit = 4, Last digit = , f = 4, l = 0
line = 3fournthreefivennxgmgvlszseven9, First digit = 3, Last digit = four, f = 3, l = 4
line = hbczcqkvnnzqzpkskccnnmpc8nzhqlhkhcbrpdhnm, First digit = 8, Last digit = 8, f = 8, l = 8
line = seven3mnljmjj4twoeighttwo6, First digit = seven, Last digit = 3, f = 7, l = 3
line = nineninetlnzc4, First digit = nine, Last digit = 4, f = 9, l = 4
line = jxp9one, First digit = 9, Last digit = 9, f = 9, l = 9
line = 6htwo47two, First digit = 6, Last digit = two, f = 6, l = 2
line = 8lqdlvc5bldshtkx8six, First digit = 8, Last digit = 5, f = 8, l = 5
line = eight35, First digit = eight, Last digit = 3, f = 8, l = 3
line = ninethreecfiveone48six, First digit = nine, Last digit = three, f = 9, l = 3
line = eight9twozmqgvblljf4seven3threesix, First digit = eight, Last digit = 9, f = 8, l = 9
line = ttmhdfzcvq8one28eighttwotwodmlpbkz, First digit = 8, Last digit = 8, f = 8, l = 8
line = 5fivef1, First digit = 5, Last digit = five, f = 5, l = 5
line = 6bztnjckgszfivehdlzcnkbthree5sevennnine, First digit = 6, Last digit = five, f = 6, l = 5
line = 2fivesix, First digit = 2, Last digit = five, f = 2, l = 5
line = rgjjrdjh16, First digit = 1, Last digit = 1, f = 1, l = 1
line = five6msbctcqqfgrone, First digit = five, Last digit = 6, f = 5, l = 6
line = 53973two6three, First digit = 5, Last digit = 3, f = 5, l = 3
line = six1zndpzk, First digit = six, Last digit = 1, f = 6, l = 1
line = q2one4nine2eightltjzkmbfour, First digit = 2, Last digit = 2, f = 2, l = 2
line = 8nineeightbdqkbnjcl4chznslmndjgtspvmphqxlsv3, First digit = 8, Last digit = nine, f = 8, l = 9
line = kfbnmpvjtjtflb7pkvgsvtone, First digit = 7, Last digit = 7, f = 7, l = 7
line = vvvrdthfpeightfive8rzs6, First digit = eight, Last digit = eight, f = 8, l = 8
line = kxph4nine3eightninefive, First digit = 4, Last digit = 4, f = 4, l = 4
line = three5five5, First digit = three, Last digit = 5, f = 3, l = 5
line = 98229six9, First digit = 9, Last digit = 8, f = 9, l = 8
line = one9four843pntrkfkbmddcjhtnine, First digit = one, Last digit = 9, f = 1, l = 9
line = twotwodcsl556, First digit = two, Last digit = 5, f = 2, l = 5
line = njrrkdpxrjtrcdjlxf6843sfdvzhz, First digit = 6, Last digit = 6, f = 6, l = 6
line = x4sfmrqpqcrqfour, First digit = 4, Last digit = 4, f = 4, l = 4
line = 48nine, First digit = 4, Last digit = 8, f = 4, l = 8
line = fivefive8gsbk, First digit = five, Last digit = 8, f = 5, l = 8
line = 23twodvglscxgeight72, First digit = 2, Last digit = 3, f = 2, l = 3
line = kzfnd6, First digit = 6, Last digit = , f = 6, l = 0
line = zngq6zzronetlxdnthreerrgttsvs, First digit = 6, Last digit = 6, f = 6, l = 6
line = dhnqkmbfbphcftlxjdmx8qqbkvdcf8, First digit = 8, Last digit = 8, f = 8, l = 8
line = hkrzzhfivesixsixgzp629, First digit = five, Last digit = five, f = 5, l = 5
line = 4khsfourt79eight, First digit = 4, Last digit = four, f = 4, l = 4
line = twonine151, First digit = two, Last digit = nine, f = 2, l = 9
line = ninegghnnnseven65eight, First digit = nine, Last digit = seven, f = 9, l = 7
line = qx62sx, First digit = 6, Last digit = 6, f = 6, l = 6
line = 8seven3vktq, First digit = 8, Last digit = seven, f = 8, l = 7
line = onefive8eight, First digit = one, Last digit = five, f = 1, l = 5
line = ns6lspmgksccptwoeighteight, First digit = 6, Last digit = 6, f = 6, l = 6
line = klknjcvspk6, First digit = 6, Last digit = , f = 6, l = 0
line = vvpfptdqf1qgpgmbcx2128six, First digit = 1, Last digit = 1, f = 1, l = 1
line = 86mgx4dhfnqlxonezgseven, First digit = 8, Last digit = 6, f = 8, l = 6
line = qhjzqrvhfdtdxlqsz6ltqnmvrxxtwo9, First digit = 6, Last digit = 6, f = 6, l = 6
line = four6p697, First digit = four, Last digit = 6, f = 4, l = 6
line = 7fjkdtthxheight7one, First digit = 7, Last digit = eight, f = 7, l = 8
line = 1ltsevenpslmhldrp8dtbzqcjdvg, First digit = 1, Last digit = seven, f = 1, l = 7
line = 8veightthree7, First digit = 8, Last digit = eight, f = 8, l = 8
line = 38sixseventwosixzxdbxxzqssevenqcrlvptbp, First digit = 3, Last digit = 8, f = 3, l = 8
line = sixtwo285eight3b, First digit = six, Last digit = two, f = 6, l = 2
line = pjpg7jqfpkqthvsbdzrqsnhk4jbfv, First digit = 7, Last digit = 7, f = 7, l = 7
line = 8sixsevensixtszklsnbmvtgmtbbkkjddmnmmgmbdh, First digit = 8, Last digit = six, f = 8, l = 6
line = 8sevendsxone7ninegcbqdcdqbnineeight, First digit = 8, Last digit = seven, f = 8, l = 7
line = onethxztbg2nbxsxxnfjhhfclfour, First digit = one, Last digit = 2, f = 1, l = 2
line = 4eight84, First digit = 4, Last digit = eight, f = 4, l = 8
line = fivethreetvfvkpxvdbqsvvdmrj9five, First digit = five, Last digit = three, f = 5, l = 3
line = 1onejrb2five, First digit = 1, Last digit = one, f = 1, l = 1
line = sevensevenqxjmb72qvxxjvxb, First digit = seven, Last digit = 7, f = 7, l = 7
line = xtwone3jslsgbchxm, First digit = two, Last digit = two, f = 2, l = 2
line = 17hbdg4gqgkdnine2, First digit = 1, Last digit = 7, f = 1, l = 7
line = hgnmpvs9dkjnzgbvgvthkvtdonepjslplmqjf, First digit = 9, Last digit = 9, f = 9, l = 9
line = threesix3qxjf7tm, First digit = three, Last digit = six, f = 3, l = 6
line = 66ninetm5tdlcnjnchr, First digit = 6, Last digit = nine, f = 6, l = 9
line = sbnrpczfqp6, First digit = 6, Last digit = , f = 6, l = 0
line = eightcnnjlpjjmrxvlklksrshpktpl1one, First digit = eight, Last digit = 1, f = 8, l = 1
line = 1four9, First digit = 1, Last digit = four, f = 1, l = 4
line = xttzsrkjjcvlgrm584qfjjhzlrhccj9, First digit = 5, Last digit = 5, f = 5, l = 5
line = qhclqvgzhvpgsnine7, First digit = nine, Last digit = nine, f = 9, l = 9
line = gtl4, First digit = 4, Last digit = , f = 4, l = 0
line = 5vnp6, First digit = 5, Last digit = 6, f = 5, l = 6
line = 8six1svdfvxncsvfspdc, First digit = 8, Last digit = six, f = 8, l = 6
line = eightjbsfjtj8sevensixlblxbpxlsz, First digit = eight, Last digit = 8, f = 8, l = 8
line = 8sevenseveneight, First digit = 8, Last digit = seven, f = 8, l = 7
line = pszx46, First digit = 4, Last digit = 4, f = 4, l = 4
line = one7sevenfour8onegs81, First digit = one, Last digit = 7, f = 1, l = 7
line = 95fiveone1onefive5tqvhv, First digit = 9, Last digit = 5, f = 9, l = 5
line = 5nine7threehxjseven1, First digit = 5, Last digit = nine, f = 5, l = 9
line = rvpqpzfnhvcxtvbjnxp9, First digit = 9, Last digit = , f = 9, l = 0
line = one7txqvgmpqlnxceightnkvl, First digit = one, Last digit = 7, f = 1, l = 7
line = seven9khkthfnckngnlllgk2679, First digit = seven, Last digit = 9, f = 7, l = 9
line = three6535onegfhkm9nq, First digit = three, Last digit = 6, f = 3, l = 6
line = five3vpdxjkmzrhtwoninethreetwo4, First digit = five, Last digit = 3, f = 5, l = 3
line = fiveninegqks5sixsrmlbnhxn, First digit = five, Last digit = nine, f = 5, l = 9
line = fivexdtvlmpthree2brpjxqzgsjltkmnbltwo, First digit = five, Last digit = three, f = 5, l = 3
line = sevenfived6five, First digit = seven, Last digit = five, f = 7, l = 5
line = seven95jrxgbnqvgnine, First digit = seven, Last digit = 9, f = 7, l = 9
line = 4scx, First digit = 4, Last digit = , f = 4, l = 0
line = 8oneonezspvqtwothreeoneone6, First digit = 8, Last digit = one, f = 8, l = 1
line = six3fourtwozzbxboneprvjmjmscbkjb, First digit = six, Last digit = 3, f = 6, l = 3
line = 6sevenpdksvksix, First digit = 6, Last digit = seven, f = 6, l = 7
line = cfjp3eightfouroneseven, First digit = 3, Last digit = 3, f = 3, l = 3
line = 1two9, First digit = 1, Last digit = two, f = 1, l = 2
line = four9eightfpthree, First digit = four, Last digit = 9, f = 4, l = 9
line = k4361gbbxthree, First digit = 4, Last digit = 4, f = 4, l = 4
line = lmmfz4four, First digit = 4, Last digit = 4, f = 4, l = 4
line = 6fourtmeightfour, First digit = 6, Last digit = four, f = 6, l = 4
line = five54three, First digit = five, Last digit = 5, f = 5, l = 5
line = klbvmvzrxs91eight, First digit = 9, Last digit = 9, f = 9, l = 9
line = 58rxgkzs58pcrbsq, First digit = 5, Last digit = 8, f = 5, l = 8
line = 71onenineronesix, First digit = 7, Last digit = 1, f = 7, l = 1
line = 18cxgmdfmone, First digit = 1, Last digit = 8, f = 1, l = 8
line = foursdfcxfx8, First digit = four, Last digit = 8, f = 4, l = 8
line = hcmqmqzb5sevenfiveblqlnlx62mjbrpldjone, First digit = 5, Last digit = 5, f = 5, l = 5
line = two29two7lzjsvzcxdz9bsjtpbfplf, First digit = two, Last digit = 2, f = 2, l = 2
line = oneone3teightlj, First digit = one, Last digit = 3, f = 1, l = 3
line = 8txbph34, First digit = 8, Last digit = 3, f = 8, l = 3
line = seven9one, First digit = seven, Last digit = 9, f = 7, l = 9
line = 82hgflfrtz481four, First digit = 8, Last digit = 2, f = 8, l = 2
line = 2qjfsqrkkbqkcgvhvzhnzbmfive73gkfxfhnqqbtx, First digit = 2, Last digit = five, f = 2, l = 5
line = 7fccpfrxstptwoeightonegnine5, First digit = 7, Last digit = two, f = 7, l = 2
line = 19vxbhzrhfkhtsgzzhfszxpcrnrqseven, First digit = 1, Last digit = 9, f = 1, l = 9
line = nnlfour9jfjnrnqbnb, First digit = four, Last digit = four, f = 4, l = 4
line = fqtfbkpmlz4seven1eightfour19, First digit = 4, Last digit = 4, f = 4, l = 4
line = x28qtnsmjpnc8, First digit = 2, Last digit = 2, f = 2, l = 2
line = sfdzkppzlhcxrjrvkssr375tdnlntcst7lzxdlcmprmgngqgzdsl, First digit = 3, Last digit = 3, f = 3, l = 3
line = vxoneight8nine935rtwotwofour, First digit = one, Last digit = one, f = 1, l = 1
line = zfldmtjzpzfbrrdgxslvn2xrj, First digit = 2, Last digit = 2, f = 2, l = 2
line = eightv8five5ppzsevenninebsbl, First digit = eight, Last digit = 8, f = 8, l = 8
line = four1sevenxc5, First digit = four, Last digit = 1, f = 4, l = 1
line = 721kqmfbhmgxvhvqninevlbdzfldgd, First digit = 7, Last digit = 2, f = 7, l = 2
line = 39one, First digit = 3, Last digit = 9, f = 3, l = 9
line = threerhvrhlfiveonetwo2, First digit = three, Last digit = five, f = 3, l = 5
line = sixscfcpq6four1eightxdt, First digit = six, Last digit = 6, f = 6, l = 6
line = four6fvfmvtjrfhkfrbfxcdjfqhmmfbf6, First digit = four, Last digit = 6, f = 4, l = 6
line = sr31fouroneightr, First digit = 3, Last digit = 3, f = 3, l = 3
line = nine6twofive, First digit = nine, Last digit = 6, f = 9, l = 6
line = threelzjrjqnine4tlfpmvfq, First digit = three, Last digit = nine, f = 3, l = 9
line = jjc63zvhlqlkdzltg35nine, First digit = 6, Last digit = 6, f = 6, l = 6
line = fourmpfpdxntv1szfcnrgvfpxt3one, First digit = four, Last digit = 1, f = 4, l = 1
line = onetwo4tlzvftnvsfthreeeight4fmsnqt7, First digit = one, Last digit = two, f = 1, l = 2
line = xroneightzjvfvljsj59fourfour6szfjkdprbk, First digit = one, Last digit = one, f = 1, l = 1
line = nine3one, First digit = nine, Last digit = 3, f = 9, l = 3
line = 7ninerphmbqphdsix, First digit = 7, Last digit = nine, f = 7, l = 9
line = 9ptv2twofive, First digit = 9, Last digit = 2, f = 9, l = 2
line = 6two4seven9ghjzqd, First digit = 6, Last digit = two, f = 6, l = 2
line = 391onenine21n, First digit = 3, Last digit = 9, f = 3, l = 9
line = 4vgpsxreightdeightseven711, First digit = 4, Last digit = eight, f = 4, l = 8
line = kbvkrrv77grfdpthsix339, First digit = 7, Last digit = 7, f = 7, l = 7
line = fourmqcrccjcfive4foursixc9, First digit = four, Last digit = five, f = 4, l = 5
line = eightsix44seventhree, First digit = eight, Last digit = six, f = 8, l = 6
line = 4five8two9oneightkc, First digit = 4, Last digit = five, f = 4, l = 5
line = mgsix3onegk9, First digit = six, Last digit = six, f = 6, l = 6
line = trftwodjjgqnstznxxshbdc6dpphrz9sevenone, First digit = two, Last digit = two, f = 2, l = 2
line = eight19two87twog, First digit = eight, Last digit = 1, f = 8, l = 1
line = 5pq18ninethreeqqkfh7three, First digit = 5, Last digit = 1, f = 5, l = 1
line = twoonetpkmrcvvpk94, First digit = two, Last digit = 9, f = 2, l = 9
line = threesix5two8two, First digit = three, Last digit = six, f = 3, l = 6
line = two1three3, First digit = two, Last digit = 1, f = 2, l = 1
line = eight8four75, First digit = eight, Last digit = 8, f = 8, l = 8
line = kjcglpndtjqxpbf9eight6, First digit = 9, Last digit = 9, f = 9, l = 9
line = two447mcz5, First digit = two, Last digit = 4, f = 2, l = 4
line = sbqfpgkbsixfivefiveone6qtmdnfive, First digit = six, Last digit = six, f = 6, l = 6
line = qxfsljsixtzpvphj69ccp, First digit = six, Last digit = six, f = 6, l = 6
line = 2fivekrmpqts, First digit = 2, Last digit = five, f = 2, l = 5
line = 69eightnineoneeightwox, First digit = 6, Last digit = 9, f = 6, l = 9
line = 211bvzlcdgbs, First digit = 2, Last digit = 1, f = 2, l = 1
line = ftcfgjzgnine2kcdvgrrnine5sevenfive3, First digit = nine, Last digit = nine, f = 9, l = 9
line = eightone42lsgpjeightthreenine, First digit = eight, Last digit = one, f = 8, l = 1
line = f599phncmsixfourfsrg, First digit = 5, Last digit = 5, f = 5, l = 5
line = vgxdcrsc8one8rppqvzkckqgseven, First digit = 8, Last digit = 8, f = 8, l = 8
line = j2fmjmjxv6nine, First digit = 2, Last digit = 2, f = 2, l = 2
